"District/LEA","District #","School","School #","Private","Charter","T-I Prev.","T-I Curr.","Grades","Address","City","Zip","Map","Link","Stats","Phone","Fax","Chartered By","Opened","Closed","Principal/Director","Principal Name","Principal Email"
"Millard District","17","Delta South School","109","Public","","Title I","?","Pre - 1","450 S CENTER","DELTA","84624","geo:39.344383,-112.575747","http://www.millard.k12.ut.us/index.php/msd-schools/elementary-schools/dec","https://datagateway.schools.utah.gov/Schools/17109","435-864-5670","435-864-5679","","2009","","Principal","Duane Rawlinson","duane.rawlinson@millardk12.org"
"Millard District","17","Eskdale High","712","Public","","","?","7 - 12","1000 CIRCLE DR","ESKDALE","84728","geo:39.107719,-113.954164","http://millardk12.org/index.php/msd-schools/secondary-school/ehs","https://datagateway.schools.utah.gov/Schools/17712","435-855-2148","435-855-2148","","2001","","Director","Sharon Conrad","sharon.conrad@millardk12.org"
"Millard District","17","Fillmore Middle","320","Public","","","?","5 - 8","P O BOX 1138 435 S 500 W","FILLMORE","84631","geo:38.959117,-112.336601","http://www.millard.k12.ut.us/schools/fms/index.htm","https://datagateway.schools.utah.gov/Schools/17320","435-743-5660","435-743-5669","","1984","","Principal","Jeremy Teeples","jeremy.teeples@millardk12.org"
"Millard District","17","Fillmore School","112","Public","","Title I","?","Pre - 4","555 W 400 S","FILLMORE","84631","geo:38.959947,-112.3387","http://www.millard.k12.ut.us/index.php/msd-schools/elementary-schools/fes","https://datagateway.schools.utah.gov/Schools/17112","435-743-5670","435-743-5679","","1977","","Principal","Sheila Sheriff","sheila.sheriff@millardk12.org"
"Millard District","17","Garrison School","120","Public","","","?","K - 6","P O BOX 10","GARRISON","84728","geo:38.565362,-113.875177","http://www.millard.k12.ut.us/schools/gar/garrison.htm","https://datagateway.schools.utah.gov/Schools/17120","435-855-2321","435-855-2195","","1988","","Director","Cecelia Phillips","cecilia@millardk12.org"
"Millard District","17","Millard High","708","Public","","","?","9 - 12","200 W EAGLE AVE","FILLMORE","84631","geo:38.969937,-112.32942","http://www.millard.k12.ut.us/schools/mhs/homepage.html","https://datagateway.schools.utah.gov/Schools/17708","435-743-5610","435-743-5619","","1955","","Principal","Derrick Dearden","derrick.dearden@millardk12.org"
"Moab Charter School","A7","Moab Charter School","100","Public","Charter","","?","K - 6","358 E 300 S","MOAB","84532","geo:38.568395,-109.54376","http://www.moabcharterschool.org","","435-259-2277","435-259-6652","State Charter School Board (SCSB)","2004","","Director","",""
"Montessori at Riverton","MW","Montessori at Riverton","901","Private","","","?","K - 8","11930 S Redwood RD.","RIVERTON","84065","geo:40.519389,-111.931487","","","801-253-4000","801-446-9941","","2007","","Principal","",""
"Montessori Community School","CO","Montessori Community School","901","Private","","","?","Pre - 6","2416 E 1700 S ","SALT LAKE CITY","84108","geo:40.733299,-111.822021","www.mcsslc.com","","801-355-1555","801-355-7177","","2020","","Administrator","","info@mcsslc.com"
"Montessori Learning Center","MX","Montessori Learning Center","951","Private","","","?","K - 8","310 SOUTH 400 WEST","LINDON","84042","geo:40.331186,-111.725063","","","435-734-0551","","","2007","","Principal","",""
"Monticello Academy","7C","Monticello Academy","100","Public","Charter","Title I","?","K - 8","2782 S CORPORATE PARK DRIVE","WEST VALLEY CITY","84120","geo:40.709429,-112.007702","http://www.monticelloacademy.net","https://datagateway.schools.utah.gov/Schools/7C100","801-417-8040","801-417-8041","State Charter School Board (SCSB)","2006","","Director","Lindsey Heinig","lindsey.heinig@monticelloacademy.net"
"Monticello Academy","7C","Monticello Academy West Point","105","Public","Charter","","?","K - 6","3110 W 300 N","WEST POINT","84015","geo:41.11866,-112.08556","http://www.monticelloacademy.net","https://datagateway.schools.utah.gov/Schools/7C105","801-417-8040","","State Charter School Board (SCSB)","2020","","Director","Ethan Wivietsky","ethan.wivietsky@monticelloacademy.net"
"Monument Valley Sda Mission School","SD","Monument Valley SDA Mission School","905","Private","","","?","K - 9","PO Box 360013","MONUMENT VALLEY","84536","geo:37.0081294,-110.2115473","","","435-727-3270","","","2016","","Principal","",""
"Morgan District","18","Morgan High","704","Public","","","?","9 - 12","P O BOX 917 55 N 200 E","MORGAN","84050","geo:41.038373,-111.673712","http://www.morgan.k12.ut.us/High/MHSIndex.html","https://datagateway.schools.utah.gov/Schools/18704","801-829-3418","801-829-6553","","1965","","Principal","Lucas Thomas","lucas.thomas@morgansd.org"
"Morgan District","18","Morgan Middle","304","Public","","","?","5 - 8","BOX 470 115 E Young Street","MORGAN","84050","geo:41.037217,-111.675707","http://www.morgan.k12.ut.us/MMS/index.html","https://datagateway.schools.utah.gov/Schools/18304","801-829-3467","801-829-0645","","1923","","Principal","Michelle Morrell","mmorrell@morgansd.org"
"Morgan District","18","Morgan Online","705","Public","","","?","K - 12","67 N. 200 East","MORGAN","84050","geo:41.03829,-111.6747","","https://datagateway.schools.utah.gov/Schools/18705","801-829-3411","801-829-3411","","2021","","Principal","",""
"Morgan District","18","Morgan Preschool","100","Public","","","?","Pre","BOX 530 240 E YOUNG ST","MORGAN","84050","geo:41.037475,-111.672248","","https://datagateway.schools.utah.gov/Schools/18100","801-829-3411","","","2002","","Principal","","twilkinson@morgansd.org"
"Morgan District","18","Morgan School","104","Public","","Title I","?","K - 4","344 E YOUNG ST","MORGAN","84050","geo:41.037133,-111.67131","http://www.morgan.k12.ut.us/elementary/index.html","https://datagateway.schools.utah.gov/Schools/18104","801-829-3438","801-829-0589","","1977","","Principal","Trina Wilkinson","twilkinson@morgansd.org"
"Morgan District","18","Mountain Green Middle","305","Public","","","?","5 - 8","6200 N 5000 W","MORGAN","84050","geo:41.14852,-111.79376","www.morgansd.org","https://datagateway.schools.utah.gov/Schools/18305","801-829-3411","801-829-3531","","2019","","Principal","Tyrel Mikesell",""
"Morgan District","18","Mountain Green Preschool","101","Public","","","?","Pre","6064 N. Silver Leaf Drive","MORGAN","84050","geo:41.143572,111.759025","www.morgansd.org/mountin-green-elementary","https://datagateway.schools.utah.gov/Schools/18101","801-876-3041","804-876-3518","","2019","","Principal","","rmartin@morgansd.org"
"Morgan District","18","Mountain Green School","106","Public","","","?","K - 4","6064 N SILVER LEAF DR","MOUNTAIN GREEN","84050","geo:41.143572,-111.759025","http://www.morgan.k12.ut.us/MGES/MGESIndex.html","https://datagateway.schools.utah.gov/Schools/18106","801-876-3041","801-876-3518","","2008","","Principal","Ramona Martin","rmartin@morgansd.org"
"Mount Vernon Academy","JG","Mount Vernon Academy","915","Private","","","?","K - 8","240 East 5600 South","MURRAY","84107","geo:40.663428,-111.886262","mountvernonacademy.com","","801-266-5521","801-269-8080","","1999","","Principal","Michael Lambson","office@mountvernonacademy.com"
"Mount Vernon Academy","JG","Mount Vernon Academy","965","Private","","","?","9 - 12","240 East 5600 South","MURRAY","84107","geo:40.663428,-111.886262","mountvernonacademy.com","","801-266-5521","801-269-8080","","1999","","Principal","Michael Lambson","office@mountvernonacademy.com"
"Mountain Heights Academy","9F","Mountain Heights Academy","600","Public","Charter","","?","7 - 12","9067 S 1300 W Suite 204","WEST JORDAN","84088","geo:40.592427,-111.92059","http://www.mountainheightsacademy.org/","https://datagateway.schools.utah.gov/Schools/9F600","801-721-6329","888-670-0032","State Charter School Board (SCSB)","2009","","Director","Delaina Tonks","dtonks@mountainheightsacademy.org"
"Mountain Sunrise Academy","4M","Mountain Sunrise Academy","100","Public","Charter","","?","K - 8","1802 East 145 North","SARATOGA SPRINGS","84043","geo:40.36502,-111.86591","MountainSunriseAcademy.org","https://datagateway.schools.utah.gov/Schools/4M100","801-882-2525","","State Charter School Board (SCSB)","2020","","Director","Kenna Wolfley","director@mountainsunriseacademy.org"
"Mountain View Montessori","3J","Mountain View Montessori","100","Public","Charter","Title I","?","K - 7","1160 N. 645 W","WASHINGTON","84780","geo:37.1472584,-113.5202387","www.dixiemontessoriacademy.org","https://datagateway.schools.utah.gov/Schools/3J100","435-251-8539","435-578-0718","State Charter School Board (SCSB)","2014","","Director","Chelsea Bergeron","cbergeron@dixiemontessoriacademy.org"
"Mountain West Montessori Academy","5J","Mountain West Montessori Academy","300","Public","Charter","Title I","?","K - 9","4125 W Foxview Dr.","South Jordan","84009","geo:40.541111,-111.988819","www.MWMAcademy.org","https://datagateway.schools.utah.gov/Schools/5J300","801-566-6962","801-497-0461","State Charter School Board (SCSB)","2014","","Principal","Angela Johnson","ajohnson@mwmacademy.org"
"Mountainville Academy","8C","Mountainville Academy","100","Public","Charter","","?","Pre - 9","195 S MAIN","ALPINE","84004","geo:40.450675,-111.776373","http://www.mountainvilleacademy.org","https://datagateway.schools.utah.gov/Schools/8C100","801-756-9805","801-763-9823","State Charter School Board (SCSB)","2006","","Principal","Janese Vance","jvance@malions.org"
"Murray District","40","Early Childhood Center","140","Public","","","?","Pre","73 W 6100 S","MURRAY","84107","geo:40.638205,-111.893506","","https://datagateway.schools.utah.gov/Schools/40140","801-264-7404","","","1995","","Administrator","Kelli Kercher","kkercher@murrayschools.org"
"Murray District","40","Grant School","112","Public","","","?","K - 6","662 W 6140 S","MURRAY","84123","geo:40.637595,-111.908942","http://schools.murrayschools.org/schools/GNT/Grant_Elementary/Welcome.html","https://datagateway.schools.utah.gov/Schools/40112","801-264-7416","801-264-7437","","1959","","Principal","Jill Burnside","jburnsidel@murrayschools.org"
"Murray District","40","Hillcrest Jr High","404","Public","","","?","7 - 9","178 E. 5300 S.","MURRAY","84107","geo:40.6565894,-111.8860282","http://hjhweb.murrayschools.org/","https://datagateway.schools.utah.gov/Schools/40404","801-264-7442","801-263-4820","","1910","","Principal","Claustina Mahon-Reynolds","creynolds@murrayschools.org"
"Murray District","40","Horizon School","116","Public","","Title I","?","K - 6","5180 S 700 W","MURRAY","84123","geo:40.658925,-111.910642","http://schools.murrayschools.org/schools/HZN/mainpage.html","https://datagateway.schools.utah.gov/Schools/40116","801-264-7420","801-264-7444","","1982","","Principal","Mindy Ball","mball@murrayschools.org"
"Murray District","40","Liberty School","120","Public","","Title I","?","K - 6","140 W 6100 S","MURRAY","84107","geo:40.638959,-111.895638","http://liberty.murrayschools.schoolfusion.us/","https://datagateway.schools.utah.gov/Schools/40120","801-264-7424","801-264-7449","","1938","","Principal","Shana Mondragon","smondragon@murrayschools.org"
"Murray District","40","Longview School","128","Public","","","?","K - 6","6240 LONGVIEW DR","MURRAY","84107","geo:40.636844,-111.8754","http://schools.murrayschools.org/schools/LGV/index.html","https://datagateway.schools.utah.gov/Schools/40128","801-264-7428","801-264-7452","","1960","","Principal","Rebecca Te'O","rteo@murrayschools.org"
"Murray District","40","Mcmillan School","124","Public","","","?","K - 6","315 E 5900 S","MURRAY","84107","geo:40.643051,-111.881989","http://schools.murrayschools.org/schools/MCM/mcm.htm","https://datagateway.schools.utah.gov/Schools/40124","801-264-7430","801-264-7451","","1953","","Principal","Hannah Dolata Hafemann","hdolata@murrayschools.org"
"Murray District","40","Murray Adult Transition","650","Public","","","?","9 - 12","147 E 5065 S","MURRAY","84107","geo:40.661549,-111.886901","","https://datagateway.schools.utah.gov/Schools/40650","801-957-4693","","","2003","","Director","","kkercher@murrayschools.org"
"Murray District","40","Murray High","704","Public","","","?","10 - 12","5440 S STATE","MURRAY","84107","geo:40.654348,-111.88963","http://schools.murrayschools.org/schools/mhs/","https://datagateway.schools.utah.gov/Schools/40704","801-264-7460","801-264-7461","","1952","","Principal","Quentin Linde","qlinde@murrayschools.org"
"Murray District","40","Parkside School","129","Public","","Title I","?","K - 6","495 E 5175 S ","MURRAY","84107","geo:40.658415,-111.87702","http://schools.murrayschools.org/schools/PKS/PKS.HTM","https://datagateway.schools.utah.gov/Schools/40129","801-264-7434","801-264-7453","","1967","","Principal","Heather Nicholas","hnicholas@murrayschools.org"
"Murray District","40","Riverview Jr High","412","Public","","","?","7 - 9","751 W TRIPP LANE","MURRAY","84123","geo:40.645168,-111.911703","http://schools.murrayschools.org/schools/RJH/","https://datagateway.schools.utah.gov/Schools/40412","801-264-7446","801-264-7458","","1961","","Principal","Earl Kauffman","ekauffman@murrayschools.org"
"Murray District","40","Viewmont School","130","Public","","","?","K - 6","745 W 5720 S","MURRAY","84123","geo:40.647031,-111.911614","http://viewmont.schoolfusion.us/","https://datagateway.schools.utah.gov/Schools/40130","801-264-7438","801-264-7454","","1965","","Principal","Jennifer King","jking@murrayschools.org"
"My Summit Adventures","SA","My Summit Adventures","901","Private","","","?","Pre","1285 E 13200 South","DRAPER","84020","geo:40.51182,-111.85366","mysummitadventures.org","","801-419-2854","","","2023","","Administrator","","amber.may@mysummitadventures.org"
"Nahunta Hall","NA","Nahunta Hall","901","Private","","","?","Pre - 12","40 S 100 E","LINDON","84042","geo:40.33726,-111.71323","nahuntahall.org","","801-319-1152","","","2022","","Administrator","","director@nahuntahall.orog"
"Navigator Pointe Academy","9B","Navigator Pointe Academy","100","Public","Charter","Title I","?","K - 9","6844 S NAVIGATOR RD","WEST JORDAN","84084","geo:40.628637,-112.002845","http://www.npacademy.org","https://datagateway.schools.utah.gov/Schools/9B100","801-840-1210","801-840-1236","State Charter School Board (SCSB)","2005","","Principal","Judy Farris","jfarris@npacademy.org"
"Nebo District","19","Apple Valley School","102","Public","","","?","Pre - 6","105 E 770 N","SANTAQUIN","84655","geo:39.988639,-111.782986","www.nebo.edu/schools/websites","https://datagateway.schools.utah.gov/Schools/19102","801-354-7400","","","2018","","Principal","Chad Argyle","chad.argyle@nebo.edu"
"Nebo District","19","Art City School","100","Public","","","?","Pre - 6","121 N 900 E","SPRINGVILLE","84663","geo:40.168152,-111.59459","http://artcity.nebo.edu/","https://datagateway.schools.utah.gov/Schools/19100","801-489-2820","801-489-6042","","1978","","Principal","Clint Cornwall","clint.cornwall@nebo.edu"
"Nebo District","19","Barnett School","104","Public","","Title I","?","Pre - 6","456 N 300 E","PAYSON","84651","geo:40.049474,-111.728474","http://www.nebo.edu/barnett/index.html","https://datagateway.schools.utah.gov/Schools/19104","801-465-6000","801-465-6001","","1979","","Principal","Kali Brown","kali.brown@nebo.edu"
"Nebo District","19","Bridges Nebo Transition Center","650","Public","","","?","Pre - 12","165 S. 700 E.","SPRINGVILLE","84663","geo:40.163873,-111.597923","","https://datagateway.schools.utah.gov/Schools/19650","801-798-4006","","","2011","","Administrator","Shawn Rawlings","shawn.rawlings@nebo.edu"
"Nebo District","19","Brockbank School","108","Public","","","?","Pre - 6","340 W 500 N","SPANISH FORK","84660","geo:40.116761,-111.660692","http://www.nebo.edu/brockbank/pages/index.html","https://datagateway.schools.utah.gov/Schools/19108","801-798-4025","801-798-4026","","1959","","Principal","Nathan Holt","nate.holt@nebo.edu"
"Nebo District","19","Brookside School","112","Public","","","?","Pre - 6","750 E 400 S","SPRINGVILLE","84663","geo:40.16091,-111.597161","http://www.nebo.edu/brookside/","https://datagateway.schools.utah.gov/Schools/19112","801-489-2830","801-489-2834","","1949","","Principal","Jennifer Grant","jennifer.grant@nebo.edu"
"Nebo District","19","Canyon School","116","Public","","","?","Pre - 6","1492 E 1240 S","SPANISH FORK","84660","geo:40.092565,-111.62848","http://canyon.nebo.edu/","https://datagateway.schools.utah.gov/Schools/19116","801-798-4610","801-798-3493","","1997","","Principal","Marcy Caldwell","marcy.caldwell@nebo.edu"
"Nebo District","19","Cherry Creek School","117","Public","","Title I","?","Pre - 6","484 S 200 E","SPRINGVILLE","84663","geo:40.159786,-111.607192","http://cherrycreek.nebo.edu/","https://datagateway.schools.utah.gov/Schools/19117","801-489-2810","","","2006","","Principal","Amberly Darrington","amy.darrington@nebo.edu"
"Nebo District","19","Diamond Fork Middle","315","Public","","","?","6 - 8","50 N 900 East ","SPANISH FORK","84660","geo:31.418226,-102.357283","","https://datagateway.schools.utah.gov/Schools/19315","801-798-4052","801-798-4098","","2021","","Principal","Brenda Burr","brenda.burr@nebo.edu"
"Nebo District","19","East Meadows School","118","Public","","","?","Pre - 6","1287 S 2130 E","SPANISH FORK","84660","geo:40.093977,-111.619185","http://eastmeadows.nebo.edu/","https://datagateway.schools.utah.gov/Schools/19118","801-798-4015","","","2006","","Principal","Teresa Jordan","teresa.jordan@nebo.edu"
"Nebo District","19","Foothills School","119","Public","","","?","Pre - 6","412 S 810 E","SALEM","84653","geo:40.048208,-111.657232","http://foothills.nebo.edu/","https://datagateway.schools.utah.gov/Schools/19119","801-423-9172","801-423-6538","","2006","","Principal","Angela Stoddard","angela.stoddard@nebo.edu"
"Nebo District","19","Goshen School","120","Public","","Title I","?","Pre - 6","60 N CENTER","GOSHEN","84633","geo:39.954012,-111.899291","http://goshen.nebo.edu/","https://datagateway.schools.utah.gov/Schools/19120","801-667-3361","801-667-3374","","1983","","Principal","Benjamin Atkin","ben.atkin@nebo.edu"
"Nebo District","19","Hobble Creek School","130","Public","","","?","Pre - 6","1145 E 1200 N","MAPLETON","84664","geo:40.142078,-111.565576","http://hobblecreek.nebo.edu/","https://datagateway.schools.utah.gov/Schools/19130","801-489-2863","801-489-2868","","2003","","Principal","Michael Sorensen","mike.sorensen@nebo.edu"
"Nebo District","19","Landmark High","720","Public","","","?","K - 12","612 S MAIN","SPANISH FORK","84660","geo:40.10135,-111.655453","http://www.nebo.edu/landmark/index.html","https://datagateway.schools.utah.gov/Schools/19720","801-798-4030","801-798-4044","","1934","","Principal","Jason Beardall","jason.beardall@nebo.edu"
"Nebo District","19","Larsen School","136","Public","","Title I","?","Pre - 6","1175 E FLONETTE DRIVE","SPANISH FORK","84660","geo:40.106605,-111.633941","http://www.nebo.edu/larsen/index.html","https://datagateway.schools.utah.gov/Schools/19136","801-798-4035","801-798-4036","","1979","","Principal","Bethany Clark","bethany.clark@nebo.edu"
"Nebo District","19","Maple Grove Middle","340","Public","","","?","6 - 8","1578 W 400 South","MAPLETON","84664","geo:40.12655,-111.59295","https://mgms.nebo.edu/","https://datagateway.schools.utah.gov/Schools/19340","801-609-2395","","","2021","","Principal","Nathan Whitney","nate.whitney@nebo.edu"
"Nebo District","19","Maple Mountain High","702","Public","","","?","7 - 12","51 N 2550 E","SPANISH FORK","84660","geo:40.110056,-111.613399","http://mmhs.nebo.edu/","https://datagateway.schools.utah.gov/Schools/19702","801-794-6740","801-794-6744","","2009","","Principal","Shea Bradshaw","shea.bradshaw@nebo.edu"
"Nebo District","19","Maple Ridge School","138","Public","","","?","Pre - 6","2340 West Harvest Parkway","MAPLETON","84664","geo:40.1227027,-111.6013484","","https://datagateway.schools.utah.gov/Schools/19138","801-489-1800","801-489-1819","","2015","","Principal","Sara B. Matis","sara.matis@nebo.edu"
"Nebo District","19","Mapleton Junior High","404","Public","","","?","7 - 9","362 E 1200 N","MAPLETON","84664","geo:40.141172,-111.57457","http://mjhs.nebo.edu/","https://datagateway.schools.utah.gov/Schools/19404","801-489-2892","801-489-2899","","2006","","Principal","Tona Graff","tona.graff@nebo.edu"
"Nebo District","19","Mapleton School","140","Public","","","?","Pre - 6","120 W MAPLE","MAPLETON","84664","geo:40.130839,-111.580528","http://www.nebo.edu/mapleton/index.html","https://datagateway.schools.utah.gov/Schools/19140","801-489-2850","801-489-2887","","1970","","Principal","Camille Thomas","cami.thomas@nebo.edu"
"Nebo District","19","Meadow Brook School","141","Public","","","?","Pre - 6","748 S. 950 W.","SPRINGVILLE","84663","geo:40.1566357,-111.6324984","www.Nebo.edu","https://datagateway.schools.utah.gov/Schools/19141","801-489-2897","801-489-2898","","2016","","Principal","Heather Balli","heather.balli@nebo.edu"
"Nebo District","19","Mt. Loafer School","142","Public","","","?","Pre - 6","1025 S 250 W","SALEM","84653","geo:40.039324,-111.677498","http://www.nebo.edu/mtloafer/index.html","https://datagateway.schools.utah.gov/Schools/19142","801-423-2705","801-423-3593","","1996","","Principal","Monica Valerio","monica.valerio@nebo.edu"
"Nebo District","19","Mt. Nebo Middle ","345","Public","","","?","6 - 7","851 W. 450 South","PAYSON","84651","geo:40.7581609,-111.8835428","","https://datagateway.schools.utah.gov/Schools/19345","801-465-6040","","","2020","","Principal","Rhet Rowley","rhet.rowley@nebo.edu"
"Nebo District","19","Nebo Advanced Learning Center","747","Public","","","?","K - 12","570 S MAIN","SPRINGVILLE","84663","geo:40.159039,-111.6107","","https://datagateway.schools.utah.gov/Schools/19747","801-489-2833","801-489-2829","","2012","","Administrator","Jo Ford","jolynn.ford@nebo.edu"
"Nebo District","19","Orchard Hills School","143","Public","","","?","Pre - 6","168 E 610 S","SANTAQUIN","84655","geo:39.985948,-111.782117","http://orchardhills.nebo.edu/","https://datagateway.schools.utah.gov/Schools/19143","801-754-5106","","","2006","","Principal","Penny McEntire","penny.mcentire@nebo.edu"
"Nebo District","19","Park School","144","Public","","Title I","?","Pre - 6","90 N 600 E","SPANISH FORK","84660","geo:40.110732,-111.643298","http://www.nebo.edu/park/index.html","https://datagateway.schools.utah.gov/Schools/19144","801-798-4045","801-798-4046","","1954","","Principal","Jessica Lindley","jessica.lindley@nebo.edu"
"Nebo District","19","Park View School","148","Public","","","?","Pre - 6","360 S 100 E","PAYSON","84651","geo:40.038508,-111.731133","http://parkview.nebo.edu/","https://datagateway.schools.utah.gov/Schools/19148","801-465-6010","801-465-6011","","1954","","Principal","Shanna Walker","shanna.walker@nebo.edu"
"Nebo District","19","Payson High","704","Public","","","?","6 - 12","1050 S MAIN","PAYSON","84651","geo:40.02821,-111.733382","http://www.nebo.edu/phs/","https://datagateway.schools.utah.gov/Schools/19704","801-465-6025","801-465-6067","","1968","","Principal","Jesse Sorenson","jesse.sorenson@nebo.edu"
"Nebo District","19","Payson Jr High","408","Public","","","?","7 - 9","1025 S HIGHWAY 198","PAYSON","84651","geo:40.028499,-111.737618","http://www.nebo.edu/pjhs/","https://datagateway.schools.utah.gov/Schools/19408","801-465-6015","801-465-6023","","1977","","Principal","Kevin Mecham","kevin.mecham@nebo.edu"
"Nebo District","19","Rees School","156","Public","","","?","Pre - 6","574 N REES AVE","SPANISH FORK","84660","geo:40.117092,-111.629024","http://www.nebo.edu/rees/index.html","https://datagateway.schools.utah.gov/Schools/19156","801-798-4055","801-798-4056","","1920","","Principal","Adam Gull","adam.gull@nebo.edu"
"Nebo District","19","Riverview School","158","Public","","","?","Pre - 6","628 S WEST PARK DRIVE","SPANISH FORK","84660","geo:40.101197,-111.665113","http://riverview.nebo.edu/","https://datagateway.schools.utah.gov/Schools/19158","801-798-4050","801-798-4051","","2007","","Principal","Bristi Poulson","bristi.poulson@nebo.edu"
"Nebo District","19","Sage Creek School","160","Public","","","?","Pre - 6","1050 S 700 E","SPRINGVILLE","84663","geo:40.150904,-111.598856","http://sagecreek.nebo.edu/","https://datagateway.schools.utah.gov/Schools/19160","801-489-2860","801-489-2865","","1959","","Principal","Angela Youd","angela.youd@nebo.edu"
"Nebo District","19","Salem Hills High","706","Public","","","?","9 - 12","150 N SKYHAWK BLVD","SALEM","84653","geo:40.055738,-111.676179","http://shhs.nebo.edu/","https://datagateway.schools.utah.gov/Schools/19706","801-423-3200","801-423-3206","","2008","","Principal","Ryan McGuire","ryan.mcguire@nebo.edu"
"Nebo District","19","Salem Junior High","416","Public","","","?","7 - 9","598 NORTH MAIN","SALEM","84653","geo:40.0641292,-111.6731673","sajhs.nebo.edu","https://datagateway.schools.utah.gov/Schools/19416","801-423-6558","801-423-6569","","2012","","Principal","Keith Richards","keith.richards@nebo.edu"
"Nebo District","19","Salem School","164","Public","","","?","Pre - 6","140 W 100 S","SALEM","84653","geo:40.053559,-111.676717","http://www.nebo.edu/salem/index.html","https://datagateway.schools.utah.gov/Schools/19164","801-423-1182","801-423-2746","","1952","","Principal","Jennifer Jolley","jennifer.jolley@nebo.edu"
"Nebo District","19","Santaquin School","168","Public","","","?","Pre - 6","25 S 400 W","SANTAQUIN","84655","geo:39.974236,-111.793948","http://www.nebo.edu/santaquin/index.html","https://datagateway.schools.utah.gov/Schools/19168","801-754-3611","801-754-3612","","1983","","Principal","Ien Richins","ien.richins@nebo.edu"
"Nebo District","19","Sierra Bonita Elementary","169","Public","","","?","Pre - 6","53 S 1800 E","SPANISH FORK","84660","geo:40.108777,-111.622879","","https://datagateway.schools.utah.gov/Schools/19169","801-798-4480","801-798-4481","","2011","","Principal","Garrett Andersen","garrett.andersen@nebo.edu"
"Nebo District","19","Spanish Fork High","708","Public","","","?","9 - 12","99 N 300 W","SPANISH FORK","84660","geo:40.111095,-111.66103","http://www.nebo.edu/sfhs/","https://datagateway.schools.utah.gov/Schools/19708","801-798-4060","801-798-4067","","1963","","Principal","Matthew K. Christensen","matt.christensen@nebo.edu"
"Nebo District","19","Spanish Fork Jr High","420","Public","","","?","7 - 9","600 S 820 E","SPANISH FORK","84660","geo:40.102331,-111.641516","http://sfjhs.nebo.edu/","https://datagateway.schools.utah.gov/Schools/19420","801-798-4075","801-798-4097","","1975","","Principal","Christopher Loveless","chris.loveless@nebo.edu"
"Nebo District","19","Spanish Oaks School","170","Public","","","?","Pre - 6","2701 E CANYON CREST DR","SPANISH FORK","84660","geo:40.085759,-111.609163","http://www.nebo.edu/spanishoaks/index.html","https://datagateway.schools.utah.gov/Schools/19170","801-798-7411","801-794-2845","","2001","","Principal","Ryan Murray","ryan.murray@nebo.edu"
"Nebo District","19","Spring Canyon Middle","360","Public","","","?","6 - 8","599 W 700 S","SPRINGVILLE","84663","geo:40.15744,-111.62201","https://scms.nebo.edu/","https://datagateway.schools.utah.gov/Schools/19360","801-609-2400","","","2021","","Principal","Alison Hansen","alison.hansen@nebo.edu"
"Nebo District","19","Spring Lake School","171","Public","","","?","Pre - 6","1750 S 500 W","PAYSON","84651","geo:40.015418,-111.738933","http://www.nebo.edu/springlake/","https://datagateway.schools.utah.gov/Schools/19171","801-465-6070","801-465-6075","","2002","","Principal","Coral Findlay","corallee.findlay@nebo.edu"
"Nebo District","19","Springville High","712","Public","","","?","6 - 12","1205 E 900 S","SPRINGVILLE","84663","geo:40.155057,-111.588089","http://www.shs.nebo.edu/","https://datagateway.schools.utah.gov/Schools/19712","801-489-2870","801-489-2806","","1968","","Principal","Robert Fleming","robert.fleming@nebo.edu"
"Nebo District","19","Springville Jr High","424","Public","","","?","7 - 9","165 S 700 E","SPRINGVILLE","84663","geo:40.163809,-111.597781","http://www.nebo.edu/sjhs/index.html","https://datagateway.schools.utah.gov/Schools/19424","801-489-2880","801-489-2825","","1958","","Principal","Tiffanie Miley","tiffanie.miley@nebo.edu"
"Nebo District","19","Taylor School","172","Public","","Title I","?","Pre - 6","92 S 500 W","PAYSON","84651","geo:40.043106,-111.740341","http://www.nebo.edu/taylor/index.html","https://datagateway.schools.utah.gov/Schools/19172","801-465-6050","801-465-6039","","1983","","Principal","Billi Robbins","billi.robbins@nebo.edu"
"Nebo District","19","Valley View Middle","380","Public","","","?","6 - 7","1044 E 340 S","SALEM","84653","geo:40.0493,-111.65616","","https://datagateway.schools.utah.gov/Schools/19380","801-609-2795","801-609-2794","","2020","","Principal","David Knudsen","david.knudsen@nebo.edu"
"Nebo District","19","Westside School","180","Public","","Title I","?","Pre - 6","740 W CENTER","SPRINGVILLE","84663","geo:40.167447,-111.623998","http://www.nebo.edu/westside/Index.html","https://datagateway.schools.utah.gov/Schools/19180","801-489-2800","801-489-2825","","1954","","Principal","Lori Nielsen","lori.nielsen@nebo.edu"
"Nebo District","19","Wilson School","184","Public","","Title I","?","Pre - 6","590 W 500 S","PAYSON","84651","geo:40.037031,-111.741085","http://www.nebo.edu/wilson/index.html","https://datagateway.schools.utah.gov/Schools/19184","801-465-6060","801-465-6068","","1959","","Principal","Larraine Bills","larraine.bills@nebo.edu"
"Neighborhood House","NN","Neighborhood House","901","Private","","","?","Pre","1050 West 500 South","SALT LAKE CITY","84121","geo:40.7598665,-111.9240647","www.nhutah.org","","801-363-4589","801-363-4591","","2016","","Director","",""
